,年次,件数,死傷者_総数,死傷者_死亡者_総数,死傷者_重傷者_総数,死傷者_軽傷者_総数,件数_信号無視,死傷者_総数_信号無視,死傷者_死亡者_信号無視,死傷者_重傷者_信号無視,死傷者_軽傷者_信号無視,件数_横断歩道外の横断,死傷者_総数_横断歩道外の横断,死傷者_死亡者_横断歩道外の横断,死傷者_重傷者_横断歩道外の横断,死傷者_軽傷者_横断歩道外の横断,件数_横断禁止場所の横断,死傷者_総数_横断禁止場所の横断,死傷者_死亡者_横断禁止場所の横断,死傷者_重傷者_横断禁止場所の横断,死傷者_軽傷者_横断禁止場所の横断,件数_その他横断違反,死傷者_総数_その他横断違反,死傷者_死亡者_その他横断違反,死傷者_重傷者_その他横断違反,死傷者_軽傷者_その他横断違反,件数_幼児のひとり歩き,死傷者_総数_幼児のひとり歩き,死傷者_死亡者_幼児のひとり歩き,死傷者_重傷者_幼児のひとり歩き,死傷者_軽傷者_幼児のひとり歩き,件数_路上遊戯,死傷者_総数_路上遊戯,死傷者_死亡者_路上遊戯,死傷者_重傷者_路上遊戯,死傷者_軽傷者_路上遊戯,件数_飛び出し,死傷者_総数_飛び出し,死傷者_死亡者_飛び出し,死傷者_重傷者_飛び出し,死傷者_軽傷者_飛び出し,件数_めいてい、徘徊,死傷者_総数_めいてい、徘徊,死傷者_死亡者_めいてい、徘徊,死傷者_重傷者_めいてい、徘徊,死傷者_軽傷者_めいてい、徘徊,件数_その他,死傷者_総数_その他,死傷者_死亡者_その他,死傷者_重傷者_その他,死傷者_軽傷者_その他,Unnamed: 51
0,1974,65,67,2,14,51,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
1,1975,67,70,1,17,52,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
2,1976,74,74,2,13,59,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
3,1977,66,71,1,10,60,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
17,1991,20,20,0,6,14,1,1,0,0,1,4,4,0,0,4,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,12,12,0,6,6,0,0,0,0,0,0,0,0,0,0,
18,1992,16,16,2,7,7,1,1,0,1,0,1,1,1,0,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,9,0,4,5,0,0,0,0,0,1,1,0,1,0,
19,1993,16,16,0,5,11,1,1,0,0,1,2,2,0,1,1,1,1,0,1,0,2,2,0,0,2,0,0,0,0,0,1,1,0,0,1,4,4,0,1,3,0,0,0,0,0,5,5,0,2,3,
20,1994,15,17,1,3,13,1,1,0,0,1,2,2,0,0,2,2,3,0,1,2,3,3,0,0,3,1,1,0,0,1,1,1,0,0,1,4,5,0,2,3,0,0,0,0,0,1,1,1,0,0,
21,1995,6,6,0,1,5,3,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,
22,1996,8,10,1,5,4,3,3,1,1,1,0,0,0,0,0,2,4,0,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,
23,1997,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
24,1998,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,
25,1999,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,
26,2000,15,16,0,4,12,5,6,0,2,4,1,1,0,1,0,2,2,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,1,1,0,0,1,
27,2001,9,9,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,1,1,0,0,1,
