idx,listing_id,host_id,host_name,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
83,762141178729084819,30722443,Cream Mama,5.0,1.0,3.0,1 bath,Ota Ku,"$6,500.00",3,1
84,762455966700297361,226154970,イチホテル上野新御徒町,5.0,1.0,2.0,1 shared bath,Taito Ku,"$15,814.00",2,1
85,762692264585948321,488186137,三畳,5.0,nan,1.0,1 shared bath,Koganei Shi,"$5,000.00",1,1
86,765803895771263180,231273877,青梅,5.0,1.0,3.0,3 baths,Sumida Ku,"$24,000.00",6,2
87,765823033420560152,231273877,青梅,5.0,1.0,3.0,2 baths,Sumida Ku,"$20,714.00",6,2
88,766077011568291290,57699141,Qiu,5.0,2.0,2.0,1 bath,Sumida Ku,"$22,286.00",6,4
89,29021886,33962432,肖冰,5.0,nan,1.0,1.5 baths,Koto Ku,"$10,000.00",2,5
90,766220004816566336,219636782,Yuka,5.0,1.0,1.0,1 bath,Shinjuku Ku,"$9,714.00",3,3
91,29021107,33962432,肖冰,5.0,nan,2.0,1.5 baths,Koto Ku,"$12,460.00",2,5
92,766338087976484877,38919757,Max Masaking,5.0,1.0,1.0,1 bath,Akiruno Shi,"$5,043.00",2,1
93,767205218011025048,52000676,Kelly,5.0,1.0,2.0,1 bath,Sumida Ku,"$15,277.00",4,2
94,767682348581554785,33962432,肖冰,5.0,1.0,1.0,1 bath,Koto Ku,"$8,157.00",2,2
95,768532120043436082,377696793,堀,5.0,1.0,2.0,1 bath,Koto Ku,"$11,933.00",3,4
96,769934069093106150,489047501,Tabist ヒロマスホテル 蔵,5.0,1.0,2.0,1 shared bath,Taito Ku,"$9,999.00",2,1
97,29226455,209649623,ApartmentforstayTaise Cristina,5.0,nan,1.0,1.5 shared baths,Suginami Ku,"$5,500.00",2,7
98,760497003810429324,417451239,Hotel MONdayTokyoNishikasai,5.0,1.0,1.0,1 shared bath,Edogawa Ku,"$12,650.00",2,1
99,747621428502641298,29977398,David,5.0,nan,1.0,1 shared bath,Nerima Ku,"$8,229.00",2,1
100,760437433942034950,260500960,Hotel MONday 羽田空港,5.0,1.0,1.0,1 private bath,Ota Ku,"$13,636.00",1,1
101,750047318604172079,60672245,龍也,5.0,1.0,2.0,1 bath,Itabashi Ku,"$4,800.00",2,3
102,750588373871472261,147413392,しのぶ,5.0,1.0,1.0,1 bath,Shinagawa Ku,"$9,269.00",2,2
103,751815486091625797,485866914,Unito,5.0,nan,1.0,1 private bath,Ota Ku,"$7,571.00",3,2
104,754580727402768569,376063923,MONday Apart Premium 秋葉原浅草橋ｽﾃｰｼｮﾝ,5.0,1.0,3.0,1 bath,Taito Ku,"$54,143.00",6,1
