user_id,review_scores_rating,bedrooms,beds,bathrooms,region,price,accommodates,minimum_nights
127,5.0,1.0,3.0,1 shared bath,Koto Ku,16217.00,3,1
128,5.0,1.0,3.0,1 shared bath,Koto Ku,16217.00,3,1
129,5.0,1.0,2.0,1 shared bath,Chiyoda Ku,40000.00,2,1
130,5.0,1.0,2.0,1.5 baths,Toshima Ku,9286.00,4,4
131,5.0,1.0,1.0,1 bath,Shinjuku Ku,7444.00,2,2
132,5.0,1.0,2.0,1 bath,Sumida Ku,7869.00,3,2
133,5.0,1.0,3.0,1 private bath,Taito Ku,12000.00,4,1
134,5.0,1.0,1.0,1 private bath,Shinjuku Ku,9383.00,2,1
135,5.0,3.0,3.0,1.5 baths,Sumida Ku,993065.00,4,180
136,5.0,1.0,2.0,1 bath,Kita Ku,11451.00,4,2
137,5.0,1.0,1.0,1 bath,Kita Ku,10286.00,2,2
138,5.0,1.0,1.0,1 bath,Bunkyo Ku,10457.00,2,2
139,5.0,1.0,1.0,1 bath,Bunkyo Ku,11914.00,2,2
140,5.0,2.0,4.0,1 bath,Shinjuku Ku,41686.00,8,1
141,5.0,nan,1.0,1 shared bath,Shinagawa Ku,6000.00,2,5
142,5.0,1.0,1.0,1 bath,Shinjuku Ku,15585.00,2,1
143,5.0,1.0,1.0,1 private bath,Taito Ku,13543.00,2,1
144,5.0,nan,1.0,1 shared bath,Edogawa Ku,6000.00,1,1
145,5.0,1.0,1.0,1 bath,Shinjuku Ku,15585.00,2,1
146,5.0,1.0,1.0,1 private bath,Taito Ku,13543.00,2,1
147,5.0,1.0,1.0,1 private bath,Taito Ku,13543.00,2,1
148,5.0,3.0,7.0,1 bath,Mitaka Shi,30035.00,11,30
149,5.0,2.0,3.0,1 bath,Shibuya Ku,27000.00,4,1
150,5.0,8.0,14.0,7 baths,Taito Ku,123000.00,16,2
151,5.0,2.0,3.0,1 bath,Toshima Ku,20000.00,4,3
152,5.0,1.0,3.0,1 private bath,Taito Ku,39836.00,4,1
153,5.0,1.0,2.0,1 private bath,Taito Ku,17000.00,4,1
154,5.0,1.0,2.0,1 private bath,Taito Ku,17000.00,4,1
155,5.0,1.0,10.0,nan,Taito Ku,4000.00,1,1
156,5.0,4.0,10.0,4 baths,Arakawa Ku,35986.00,8,1
157,5.0,nan,1.0,1 shared bath,Ome Shi,2600.00,5,1
158,5.0,1.0,1.0,1 private bath,Sumida Ku,5100.00,1,1
159,5.0,1.0,2.0,1 bath,Kunitachi Shi,4286.00,2,1
160,5.0,1.0,1.0,1 bath,Shinjuku Ku,14000.00,2,1
161,5.0,1.0,2.0,1 bath,Shinjuku Ku,15571.00,2,1
162,5.0,1.0,2.0,1 bath,Shinjuku Ku,16714.00,4,1
163,5.0,3.0,8.0,2 baths,Shinjuku Ku,31714.00,7,1
164,5.0,1.0,1.0,1 bath,Shinjuku Ku,19543.00,2,1
165,5.0,nan,4.0,5 shared baths,Chuo Ku,22571.00,4,1
166,5.0,4.0,5.0,2 baths,Shinjuku Ku,56429.00,13,2
167,5.0,1.0,nan,1 private bath,Taito Ku,31429.00,4,1
168,5.0,1.0,2.0,1 shared bath,Taito Ku,31429.00,4,1
169,5.0,1.0,nan,1 shared bath,Taito Ku,31429.00,4,1
170,5.0,1.0,nan,1 private bath,Taito Ku,49264.00,5,1
171,5.0,1.0,2.0,1 private bath,Bunkyo Ku,41000.00,4,1
172,5.0,1.0,3.0,1 bath,Shinjuku Ku,22943.00,5,1
173,5.0,1.0,1.0,1 private bath,Chiyoda Ku,32457.00,2,1
174,5.0,1.0,1.0,1 private bath,Bunkyo Ku,28857.00,2,1
175,5.0,1.0,1.0,1 bath,Ota Ku,11714.00,2,3
176,5.0,1.0,2.0,1 bath,Shinjuku Ku,21514.00,3,1
177,5.0,2.0,2.0,1.5 baths,Nakano Ku,16171.00,4,1
178,5.0,1.0,2.0,1 bath,Shinjuku Ku,18800.00,2,1
179,5.0,1.0,2.0,1 shared bath,Koganei Shi,14300.00,2,1
180,5.0,1.0,1.0,1 private bath,Setagaya Ku,22354.00,2,1
181,5.0,1.0,1.0,1 bath,Koto Ku,11440.00,2,1
182,5.0,1.0,2.0,1 bath,Shinjuku Ku,13106.00,4,1
183,5.0,1.0,1.0,1 bath,Shinjuku Ku,22657.00,2,1
184,5.0,1.0,2.0,1.5 baths,Toshima Ku,13200.00,2,1
185,5.0,2.0,3.0,1 bath,Ota Ku,16714.00,4,3
186,5.0,2.0,5.0,1 bath,Sumida Ku,14396.00,9,4
187,5.0,2.0,4.0,1 bath,Taito Ku,33371.00,5,1
188,5.0,1.0,2.0,1.5 baths,Shinjuku Ku,24714.00,3,2
189,5.0,2.0,2.0,1 bath,Shinjuku Ku,26286.00,4,1
190,5.0,1.0,1.0,1 shared bath,Shibuya Ku,12800.00,1,1
191,5.0,1.0,3.0,3 baths,Katsushika Ku,6343.00,3,1
192,5.0,1.0,2.0,1 bath,Toshima Ku,8786.00,4,4
193,5.0,1.0,2.0,1 bath,Shinjuku Ku,23800.00,4,2
194,5.0,nan,1.0,1 shared bath,Edogawa Ku,20000.00,2,2
195,5.0,1.0,2.0,1 bath,Toshima Ku,17500.00,4,6
196,5.0,nan,4.0,5 shared baths,Chuo Ku,16929.00,3,1
197,5.0,1.0,2.0,1 bath,Shinjuku Ku,16714.00,4,1
198,5.0,nan,1.0,3 shared baths,Toshima Ku,4000.00,2,30
199,5.0,1.0,3.0,1 shared bath,Adachi Ku,6214.00,3,2
200,5.0,nan,3.0,1.5 baths,Edogawa Ku,20943.00,8,1
201,5.0,nan,2.0,1 private bath,Taito Ku,31429.00,3,1
202,5.0,1.0,2.0,1 private bath,Taito Ku,31429.00,4,1
203,5.0,1.0,1.0,1 shared bath,Shinjuku Ku,13714.00,3,1
204,5.0,1.0,4.0,1 private bath,Chuo Ku,44000.00,5,1
205,5.0,1.0,3.0,1.5 baths,Chiyoda Ku,61429.00,5,1
206,5.0,1.0,1.0,1 bath,Shinjuku Ku,7444.00,2,2
207,5.0,nan,4.0,1 private bath,Taito Ku,48620.00,4,1
208,5.0,1.0,2.0,1 bath,Shinagawa Ku,9577.00,2,5
209,5.0,1.0,3.0,1 private bath,Taito Ku,44400.00,7,1
210,5.0,1.0,1.0,1 private bath,Bunkyo Ku,17729.00,2,1
211,5.0,1.0,2.0,1 private bath,Bunkyo Ku,21629.00,2,1
212,5.0,4.0,3.0,1 bath,Adachi Ku,18371.00,10,1
213,5.0,1.0,2.0,1 private bath,Chiyoda Ku,18700.00,3,1
214,5.0,1.0,1.0,1 private bath,Bunkyo Ku,22586.00,2,1
215,5.0,1.0,2.0,1 private bath,Taito Ku,20000.00,4,1
216,5.0,4.0,17.0,4 baths,Taito Ku,91429.00,16,5
217,5.0,nan,2.0,1 bath,Shinjuku Ku,25000.00,3,5
218,5.0,1.0,1.0,1 bath,Minato Ku,13586.00,2,1
219,5.0,1.0,2.0,1 bath,Itabashi Ku,13419.00,2,2
