,neighbourhood_cleansed,price,room_type,accommodates,bathrooms_text,bedrooms,beds,review_scores_rating,latitude,longitude,full name
157,Koto Ku,"$5,391.00",Private room,4,1 shared bath,1.0,2.0,4.61,35.68288,139.81552,長崎県 対馬市 湊
158,Koto Ku,"$1,655.00",Shared room,1,0 shared baths,,,4.7,35.68288,139.81552,長崎県 対馬市 湊
159,Koto Ku,"$2,650.00",Shared room,1,0 shared baths,,1.0,4.58,35.68288,139.81552,長崎県 対馬市 湊
160,Fuchu Shi,"$14,514.00",Entire home/apt,6,1 bath,3.0,2.0,4.88,35.67394,139.51309,長崎県 対馬市 湊
161,Suginami Ku,"$97,800.00",Private room,2,1 shared bath,,2.0,4.66,35.68163,139.65261,長崎県 対馬市 湊
162,Suginami Ku,"$4,200.00",Private room,3,1.5 shared baths,1.0,1.0,4.41,35.70366,139.62997,長崎県 対馬市 湊
163,Adachi Ku,"$14,000.00",Private room,3,1 shared bath,,,4.83,35.78152,139.77846,長崎県 対馬市 湊
164,Shinjuku Ku,"$13,289.00",Entire home/apt,3,1 bath,,1.0,4.79,35.70028,139.70525,長崎県 対馬市 湊
165,Toshima Ku,"$25,286.00",Entire home/apt,10,1.5 baths,3.0,10.0,4.7,35.72389,139.70795,長崎県 対馬市 湊
166,Shinjuku Ku,"$16,212.00",Entire home/apt,5,1 bath,1.0,3.0,4.67,35.70015,139.69946,長崎県 対馬市 湊
167,Shinjuku Ku,"$49,015.00",Entire home/apt,10,2 baths,3.0,7.0,4.68,35.70309,139.70166,長崎県 対馬市 湊
168,Chuo Ku,"$4,924.00",Shared room,2,2 shared baths,,2.0,4.58,35.68842,139.77816,長崎県 対馬市 湊
169,Chuo Ku,"$5,156.00",Shared room,2,3 shared baths,,1.0,4.63,35.68903,139.77667,長崎県 対馬市 湊
170,Chuo Ku,"$4,582.00",Shared room,2,2 shared baths,,2.0,4.67,35.68699,139.77643,長崎県 対馬市 湊
171,Suginami Ku,"$4,000.00",Private room,3,1.5 shared baths,1.0,1.0,4.23,35.70366,139.62997,長崎県 対馬市 湊
172,Arakawa Ku,"$2,886.00",Entire home/apt,2,1 bath,1.0,2.0,4.87,35.72671,139.782,長崎県 対馬市 湊
173,Arakawa Ku,"$2,871.00",Entire home/apt,2,1 bath,1.0,2.0,4.88,35.72672,139.78201,長崎県 対馬市 湊
174,Itabashi Ku,"$5,196.00",Private room,2,1 shared bath,,1.0,4.81,35.75915,139.68365,長崎県 対馬市 湊
175,Itabashi Ku,"$5,423.00",Private room,2,1 shared bath,,1.0,4.83,35.76123,139.68315,長崎県 対馬市 湊
176,Suginami Ku,"$4,000.00",Private room,2,1.5 shared baths,1.0,1.0,4.21,35.70366,139.62999,長崎県 対馬市 湊
177,Shibuya Ku,"$35,000.00",Entire home/apt,2,1 bath,1.0,1.0,4.96,35.65191,139.7205,長崎県 対馬市 湊
178,Setagaya Ku,"$25,949.00",Entire home/apt,3,1 bath,,1.0,4.84,35.66913,139.65991,長崎県 対馬市 湊
179,Nerima Ku,"$6,000.00",Private room,1,2 shared baths,,1.0,4.86,35.763,139.66878,長崎県 対馬市 湊
180,Minato Ku,"$13,800.00",Entire home/apt,3,1.5 baths,1.0,2.0,4.84,35.6652,139.71831,長崎県 対馬市 湊
181,Suginami Ku,"$4,000.00",Private room,2,1.5 shared baths,1.0,1.0,4.16,35.70365,139.62997,長崎県 対馬市 湊
182,Suginami Ku,"$3,500.00",Private room,1,1.5 shared baths,1.0,1.0,4.41,35.70365,139.62999,長崎県 対馬市 湊
183,Shinjuku Ku,"$17,579.00",Entire home/apt,3,1 bath,1.0,2.0,4.54,35.69142,139.68524,長崎県 対馬市 湊
184,Shinagawa Ku,"$10,091.00",Entire home/apt,2,1 bath,1.0,2.0,4.85,35.59877,139.73915,長崎県 対馬市 湊
185,Shinagawa Ku,"$13,387.00",Entire home/apt,2,1 bath,1.0,2.0,4.71,35.59877,139.73915,長崎県 対馬市 湊
186,Katsushika Ku,"$12,514.00",Entire home/apt,5,1.5 baths,3.0,2.0,4.95,35.7333,139.85079,長崎県 対馬市 湊
187,Toshima Ku,"$23,086.00",Entire home/apt,6,1 bath,2.0,4.0,4.67,35.727,139.71273,長崎県 対馬市 湊
188,Shibuya Ku,"$13,429.00",Entire home/apt,2,1 bath,,1.0,4.58,35.6772,139.67896,長崎県 対馬市 湊
189,Shinjuku Ku,"$40,000.00",Entire home/apt,12,2.5 baths,3.0,6.0,4.64,35.69024,139.68741,長崎県 対馬市 湊
190,Minato Ku,"$8,000.00",Private room,1,1 shared bath,,1.0,4.67,35.6673,139.71916,長崎県 対馬市 湊
191,Shinagawa Ku,"$7,986.00",Entire home/apt,3,1 bath,1.0,2.0,4.83,35.61533,139.72495,長崎県 対馬市 湊
192,Toshima Ku,"$5,767.00",Private room,2,1.5 shared baths,,1.0,4.93,35.74061,139.71046,長崎県 対馬市 湊
